ts,variant,text,rating,reason
2025-08-18T23:11:42.034706,v1_base,Robin: Mime playing a musical instrument.,-2,
2025-08-18T23:26:01.623677,v1_base,What are the odds you can balance a book on your head for 30 seconds?,-1,
2025-08-18T23:38:40.796238,v1_base,What are the odds Lex can hum the Star-Spangled Banner backwards?,-2,
2025-08-18T23:42:46.998198,v4_spicy,What are the odds Marvin can balance a ping-pong ball on his nose for 10 seconds?,-2,
2025-08-18T23:51:02.758908,v4_spicy,Robin What are the odds you can balancing a raw egg on your head for 30 seconds?,-1,
2025-08-19T09:07:05.115450,v4_spicy,Robin What are the odds you can balance on one foot for a minute without wobbling?,-1,
2025-08-19T09:16:36.899480,v4_spicy,Robin What are the odds you can balance a marshmallow on your nose for 30 seconds?,-1,
2025-08-19T09:16:48.816249,v4_spicy,Lorenz What are the odds you can draw an accurate self-portrait in less than 5 minutes?,0,
2025-08-19T09:16:54.221240,v4_spicy,Tiberio What are the odds you can balance two spoons on your chin while singing 'Happy Birthday'?,-1,
2025-08-19T09:16:57.852001,v4_spicy,Marvin What are the odds you can guess another player's middle name correctly?,-1,
2025-08-19T09:17:07.735716,v4_spicy,Philipp What are the odds you can eat a hot pepper without drinking anything for 5 minutes?,1,
2025-08-19T09:17:12.419279,v4_spicy,Marvin What are the odds you can recite the alphabet backwards in under 15 seconds?,0,
2025-08-19T09:17:16.370887,v4_spicy,Daniel What are the odds you can juggle three balloons without dropping any for 30 seconds?,-1,
2025-08-19T09:17:26.967248,v4_spicy,Lex What are the odds you can jump rope for two minutes straight?,-1,
2025-08-19T09:17:33.826978,v4_spicy,Tiberio What are the odds you can do a perfect cartwheel within 10 attempts?,-1,
2025-08-19T09:17:36.715832,v4_spicy,Sven What are the odds you can solve a Rubik's cube in under 2 minutes?,-1,
2025-08-19T09:17:48.877564,v4_spicy,Leon What are the odds you can whistle while blowing bubbles at the same time?,-1,
2025-08-19T09:17:52.854929,v4_spicy,Robin What are the odds you can sing the national anthem backwards?,-1,
2025-08-19T09:18:00.164588,v4_spicy,Philipp What are the odds you can walk on all fours around the picnic table for one minute?,1,
2025-08-19T09:18:05.016102,v4_spicy,Marvin What are the odds you can recite a poem written by another player in the group?,-1,
2025-08-19T09:18:12.653883,v4_spicy,Daniel What are the odds you can mimic another player's accent for a full sentence?,0,
2025-08-19T09:18:19.242258,v4_spicy,Lex What are the odds you can make a bird call like a real bird without using any electronic devices?,-1,
2025-08-19T09:18:24.134803,v4_spicy,Sven What are the odds you can name ten different types of edible bugs found in our region?,-1,
2025-08-19T09:18:35.613843,v4_spicy,Leon What are the odds you can write a limerick about another player using only positive attributes?,0,
2025-08-19T09:18:44.596101,v4_spicy,Lorenz What are the odds you can impersonate Siri or Alexa and answer a random trivia question?,0,
2025-08-19T09:18:52.328139,v4_spicy,Robin What are the odds you can do a backflip into a pool if one is available?,2,
2025-08-19T09:26:33.416758,v4_spicy,Robin What are the odds you can balance on one foot while singing the national anthem of Spain?,-1,
2025-08-19T09:26:40.493849,v4_spicy,"Philipp What are the odds you can describe an abstract painting hanging somewhere nearby, without looking at it?",-1,
2025-08-19T09:26:49.432048,v4_spicy,Philipp What are the odds you can recite the entire menu at a nearby restaurant in reverse order?,-1,
2025-08-19T09:27:03.073515,v4_spicy,Marvin What are the odds you can perform a perfect somersault into the pool without any practice?,0,
2025-08-19T09:27:08.787316,v4_spicy,Daniel What are the odds you can solve a rubik's cube blindfolded?,-1,
2025-08-19T09:27:14.845446,v4_spicy,Lex What are the odds you can recite Shakespearean sonnet while juggling three balls?,-1,
2025-08-19T09:27:19.920883,v4_spicy,Tiberio What are the odds you can identify all constellations in the night sky without using a map?,-1,
2025-08-19T09:27:24.776371,v4_spicy,Sven What are the odds you can create an edible sculpture out of food from your dinner table?,0,
2025-08-19T09:27:30.519091,v4_spicy,Leon What are the odds you can solve a complex math problem on the spot related to the stars' positions and distances?,-1,
2025-08-19T09:27:37.015188,v4_spicy,Lorenz What are the odds you can imitate the sound effects of various animals for one minute straight?,1,
2025-08-19T09:27:45.177896,v4_spicy,Robin What are the odds you can tell an original joke that gets a laugh from everyone in the group?,0,
2025-08-19T09:27:56.103371,v4_spicy,Philipp What are the odds you can mimic any celebrity's signature dance move perfectly?,-1,
2025-08-19T09:28:02.332765,v4_spicy,"Marvin What are the odds you can recite a poem written on the spot, inspired by the moonlight and the moment?",-1,
2025-08-19T09:28:11.298291,v4_spicy,Daniel What are the odds you can create a human pyramid with the group in less than 30 seconds?,1,
2025-08-19T09:28:17.323407,v4_spicy,Lex What are the odds you can do a backflip off a nearby bench onto a soft landing pad (if available)?,1,
2025-08-19T09:28:28.315018,v4_spicy,Tiberio What are the odds you can tell an interesting story about the history of Spain without looking it up?,-1,
2025-08-19T09:28:37.561018,v4_spicy,"Sven What are the odds you can play a short musical piece on a random instrument in the group (e.g., spoons, kazoo)?",-1,
2025-08-19T09:28:41.672899,v4_spicy,Leon What are the odds you can impersonate a famous Spanish character from literature or film?,0,
